module_code,module_title,department,classification,m4_lead_name,m4_lead_score,m5_lead_name,m5_lead_score,lead_status,rank_shift,tradeoff_delta,policy_summary
PX5612,The Arab-Israeli Conflict,Department of Social and Political Sciences,taught_academic,Professor Matthew Hughes,0.4325,Professor Matthew Hughes,0.4325,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Matthew Hughes assigned as Rank #1 subject expert (Relevance score: 0.4325).
JR2619,Cross Platform Journalism,"Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.392,Dr Billur Ozgul,0.392,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Billur Ozgul assigned as Rank #1 subject expert (Relevance score: 0.3920).
N/A,Digital Signal Processing,Department of Electronic and Computer Engineering,taught_academic,Dr Lu Gan,0.3703,Dr Shaoqing Hu,0.3165,DISPLACED_BY_QUOTA,1,0.0538,"Assigned Dr Shaoqing Hu (Rank #2, Relevance: 0.3165) under Institutional Workload Policy."
N/A,Applied Sport & Exercise Psychology,Department of Life Sciences,taught_academic,Dr Rebecca Hings,0.6238,Professor Costas Karageorghis,0.5649,DISPLACED_BY_QUOTA,4,0.0589,"Assigned Professor Costas Karageorghis (Rank #5, Relevance: 0.5649) under Institutional Workload Policy."
PP5618,Politics and Digital Cultures,"Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.371,Dr Victor Jatula,0.356,DISPLACED_BY_QUOTA,1,0.015,"Assigned Dr Victor Jatula (Rank #2, Relevance: 0.3560) under Institutional Workload Policy."
SP36II,Critical Issues in Sport,Department of Life Sciences,taught_academic,Dr Laura Hills,0.5171,Dr Laura Hills,0.5171,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Laura Hills assigned as Rank #1 subject expert (Relevance score: 0.5171).
N/A,English for Specific Academic Purposes,Department of Electronic and Computer Engineering,taught_academic,Dr Monica Pereira,0.2636,Dr Monica Pereira,0.2636,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Monica Pereira assigned as Rank #1 subject expert (Relevance score: 0.2636).
PY1611,Brain and Cognition,Department of Life Sciences,taught_academic,Professor Veena Kumari,0.436,Professor Veena Kumari,0.436,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Veena Kumari assigned as Rank #1 subject expert (Relevance score: 0.4360).
CE26AA,Concrete Materials and Reinforced Concrete Design,Department of Civil and Environmental Engineering,taught_academic,Dr Esmaeel Esmaeeli,0.4172,Dr Mohamed Abdelkader Ismail,0.3674,DISPLACED_BY_QUOTA,2,0.0498,"Assigned Dr Mohamed Abdelkader Ismail (Rank #3, Relevance: 0.3674) under Institutional Workload Policy."
PH5637,Palliative and End of Life Care,Department of Health Sciences,taught_academic,Dr Mark Wareing,0.43,Dr Sayem Ahmed,0.3409,DISPLACED_BY_QUOTA,2,0.0891,"Assigned Dr Sayem Ahmed (Rank #3, Relevance: 0.3409) under Institutional Workload Policy."
SW5626,SW5626 Practicing Social Work,Department of Health Sciences,taught_academic,Professor Fiona Verity,0.3897,Dr Michael Thomas,0.3505,DISPLACED_BY_QUOTA,3,0.0392,"Assigned Dr Michael Thomas (Rank #4, Relevance: 0.3505) under Institutional Workload Policy."
CM5629,Transforming SCPHN Practice OHN (OHN only),Department of Health Sciences,taught_academic,Ms Tai Frater,0.3642,Dr Mahsa Kheirollahzadeh,0.3517,DISPLACED_BY_QUOTA,2,0.0124,"Assigned Dr Mahsa Kheirollahzadeh (Rank #3, Relevance: 0.3517) under Institutional Workload Policy."
MG5573,Logistics and Supply Chain Management,Brunel Business School,taught_academic,Dr Navid Sahebjamnia,0.4539,Dr Xia Han,0.3919,DISPLACED_BY_QUOTA,3,0.0619,"Assigned Dr Xia Han (Rank #4, Relevance: 0.3919) under Institutional Workload Policy."
PP3623,"Media, Politics & Power in America","Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.3708,Dr Victor Jatula,0.3484,DISPLACED_BY_QUOTA,1,0.0224,"Assigned Dr Victor Jatula (Rank #2, Relevance: 0.3484) under Institutional Workload Policy."
EE2656,Communication Systems,Department of Electronic and Computer Engineering,taught_academic,Professor John Cosmas,0.2968,Dr Lu Gan,0.2141,DISPLACED_BY_QUOTA,2,0.0827,"Assigned Dr Lu Gan (Rank #3, Relevance: 0.2141) under Institutional Workload Policy."
MG2620,Research Methods in Business and Management,Brunel Business School,taught_academic,Dr Cristina Stoian,0.34,Dr Amir Ashrafi,0.3359,DISPLACED_BY_QUOTA,1,0.0041,"Assigned Dr Amir Ashrafi (Rank #2, Relevance: 0.3359) under Institutional Workload Policy."
MB5609,Family Enterprise Dynamics in Contemporary Contexts,Brunel Business School,taught_academic,Dr Wai Joyce Joyce Ko,0.3809,Dr Kiran Kandade,0.3027,DISPLACED_BY_QUOTA,4,0.0782,"Assigned Dr Kiran Kandade (Rank #5, Relevance: 0.3027) under Institutional Workload Policy."
N/A,Current Topics in Aerospace and Advanced CAD,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Alvin Gatto,0.2783,Dr James Tyacke,0.239,DISPLACED_BY_QUOTA,1,0.0393,"Assigned Dr James Tyacke (Rank #2, Relevance: 0.2390) under Institutional Workload Policy."
PH1602,Systems of Physiology and Pathophysiology,Department of Health Sciences,taught_academic,Dr Vicky MacBean,0.3273,Mr Jonathan Warne,0.3093,DISPLACED_BY_QUOTA,1,0.018,"Assigned Mr Jonathan Warne (Rank #2, Relevance: 0.3093) under Institutional Workload Policy."
FM3605,Games Design 3: Further Design,Department of Arts and Humanities,taught_academic,Mr Chris Cox,0.4139,Mr Chris Cox,0.4139,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Mr Chris Cox assigned as Rank #1 subject expert (Relevance score: 0.4139).
N/A,GDXXXX - Games Research Project,"Department of Social Sciences, Media and Communications",taught_academic,Professor Monica Degen,0.2308,Dr Manu Savani,0.2007,DISPLACED_BY_QUOTA,2,0.0301,"Assigned Dr Manu Savani (Rank #3, Relevance: 0.2007) under Institutional Workload Policy."
N/A,Global Healthcare Policy Evaluation and Health Economics,Brunel Business School,taught_academic,Professor Francesco Moscone,0.4192,Professor Francesco Moscone,0.4192,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Francesco Moscone assigned as Rank #1 subject expert (Relevance score: 0.4192).
AF2607,Taxation,"Department of Economics, Finance and Accounting",taught_academic,Professor Sugata Ghosh,0.2215,Professor Sugata Ghosh,0.2215,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Sugata Ghosh assigned as Rank #1 subject expert (Relevance score: 0.2215).
SC1603,Contemporary Challenges,"Department of Social Sciences, Media and Communications",taught_academic,Dr Magali Peyrefitte,0.3603,Dr Magali Peyrefitte,0.3603,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Magali Peyrefitte assigned as Rank #1 subject expert (Relevance score: 0.3603).
N/A,Advanced Design Innovation Project,Brunel Design School,taught_academic,Dr Mohammed Elsouri,0.3794,Dr Mohammed Elsouri,0.3794,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Mohammed Elsouri assigned as Rank #1 subject expert (Relevance score: 0.3794).
DR3625,Professional Practice and Development,Department of Arts and Humanities,taught_academic,Dr Emily Baines,0.2025,Dr Stuart Andrews,0.1801,DISPLACED_BY_QUOTA,2,0.0225,"Assigned Dr Stuart Andrews (Rank #3, Relevance: 0.1801) under Institutional Workload Policy."
AF2605,Management Accounting,Brunel Business School,taught_academic,Dr Radha Shiwakoti,0.3426,Dr Grigorios Theodosopoulos,0.3034,DISPLACED_BY_QUOTA,1,0.0392,"Assigned Dr Grigorios Theodosopoulos (Rank #2, Relevance: 0.3034) under Institutional Workload Policy."
ME5569,"Renewable Energy Technologies III: Geothermal, Biomass, Waste, Hydrogen",Department of Chemical Engineering,taught_academic,Dr Kok Siew Ng,0.3447,Dr Kok Siew Ng,0.3447,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Kok Siew Ng assigned as Rank #1 subject expert (Relevance score: 0.3447).
MA5646,Time Series Forecasting and Risk Modelling,Department of Mathematics,taught_academic,Professor Paresh Date,0.3544,Professor Paresh Date,0.3544,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Paresh Date assigned as Rank #1 subject expert (Relevance score: 0.3544).
LS36XX,Final Year Research Project,Department of Life Sciences,taught_academic,Dr Sofia Barbosa Boucas,0.3456,Dr Stanley Gaines,0.2599,DISPLACED_BY_QUOTA,3,0.0857,"Assigned Dr Stanley Gaines (Rank #4, Relevance: 0.2599) under Institutional Workload Policy."
PP3XXA,"Great Power Competition: Russia, China and the USA",Department of Social and Political Sciences,taught_academic,Professor Philip Davies,0.2428,Dr Niall Palmer,0.2223,DISPLACED_BY_QUOTA,2,0.0205,"Assigned Dr Niall Palmer (Rank #3, Relevance: 0.2223) under Institutional Workload Policy."
MG5625,Strategic Digital Marketing,Brunel Business School,taught_academic,Dr Syed Muhammad,0.3478,Dr Dongmei Zha,0.304,DISPLACED_BY_QUOTA,2,0.0439,"Assigned Dr Dongmei Zha (Rank #3, Relevance: 0.3040) under Institutional Workload Policy."
CH5C,Advanced Process Engineering,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Bertrand Delpech,0.3216,Professor Thanos Megaritis,0.3013,DISPLACED_BY_QUOTA,1,0.0203,"Assigned Professor Thanos Megaritis (Rank #2, Relevance: 0.3013) under Institutional Workload Policy."
CE5607,Advanced Reinforced and Prestressed Concrete Design,Department of Civil and Environmental Engineering,taught_academic,Dr Esmaeel Esmaeeli,0.4128,Dr Esmaeel Esmaeeli,0.4128,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Esmaeel Esmaeeli assigned as Rank #1 subject expert (Relevance score: 0.4128).
N/A,Devices and Circuits,Department of Electronic and Computer Engineering,taught_academic,Dr Shaoqing Hu,0.1537,Dr Lehu Wen,0.1423,DISPLACED_BY_QUOTA,1,0.0114,"Assigned Dr Lehu Wen (Rank #2, Relevance: 0.1423) under Institutional Workload Policy."
PH3601,Critical Care,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.4253,Professor Cherry Kilbride,0.3137,DISPLACED_BY_QUOTA,4,0.1117,"Assigned Professor Cherry Kilbride (Rank #5, Relevance: 0.3137) under Institutional Workload Policy."
MG1606,Introduction to Accounting and Financial Management,Brunel Business School,taught_academic,Dr Radha Shiwakoti,0.3711,Dr Sheehan Rahman,0.2975,DISPLACED_BY_QUOTA,4,0.0736,"Assigned Dr Sheehan Rahman (Rank #5, Relevance: 0.2975) under Institutional Workload Policy."
CH2A,Chemical Engineer’s Toolbox,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Jun Xia,0.3098,Dr Jun Xia,0.3098,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Jun Xia assigned as Rank #1 subject expert (Relevance score: 0.3098).
CW2604,Screenwriting I,"Department of Social Sciences, Media and Communications",taught_academic,Dr Paul Moody,0.1988,Dr Anita Howarth,0.1718,DISPLACED_BY_QUOTA,3,0.027,"Assigned Dr Anita Howarth (Rank #4, Relevance: 0.1718) under Institutional Workload Policy."
FM1613,Asset Creation 1: Art Fundamentals,Department of Arts and Humanities,taught_academic,Dr Mariza Dima,0.3906,Dr Mariza Dima,0.3906,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Mariza Dima assigned as Rank #1 subject expert (Relevance score: 0.3906).
PP3XXX,Terrorism and Counterterrorism,Department of Social and Political Sciences,taught_academic,Dr Billur Ozgul,0.3431,Dr Hannah Whittaker,0.307,DISPLACED_BY_QUOTA,4,0.0362,"Assigned Dr Hannah Whittaker (Rank #5, Relevance: 0.3070) under Institutional Workload Policy."
N/A,Research and Evaluation Methods,Department of Life Sciences,taught_academic,Dr Micheal De Barra,0.4448,Dr Micheal De Barra,0.4448,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Micheal De Barra assigned as Rank #1 subject expert (Relevance score: 0.4448).
CS3004,Network Computing,Department of Computer Science,taught_academic,Dr Rumyana Neykova,0.2728,Professor Zidong Wang,0.2454,DISPLACED_BY_QUOTA,4,0.0274,"Assigned Professor Zidong Wang (Rank #5, Relevance: 0.2454) under Institutional Workload Policy."
N/A,Physical Activity Behaviour Change and Public Health,Department of Life Sciences,taught_academic,Professor Louise Mansfield,0.5279,Dr Tarryn Godfrey,0.4216,DISPLACED_BY_QUOTA,4,0.1064,"Assigned Dr Tarryn Godfrey (Rank #5, Relevance: 0.4216) under Institutional Workload Policy."
EN3630,Literature and Identity,Department of Arts and Humanities,taught_academic,Dr Emily Horton,0.3477,Dr Emily Horton,0.3477,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Emily Horton assigned as Rank #1 subject expert (Relevance score: 0.3477).
N/A,Placement Portfolio (with placement only),Department of Civil and Environmental Engineering,independent_project_placement,Dr Nuhu Braimah,0.245,Dr Nuhu Braimah,0.245,EXEMPT,0,0.0,Exempt unit: 'Dr Nuhu Braimah' assigned as academic supervisor / dissertation coordinator.
EE2615,Applied Media Aesthetics,Department of Electronic and Computer Engineering,taught_academic,Professor George Ghinea,0.2705,Professor George Ghinea,0.2705,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor George Ghinea assigned as Rank #1 subject expert (Relevance score: 0.2705).
MS1701,Introduction to Medical Sciences 1,Brunel Medical School,taught_academic,Unassigned Lead,0.0,Unassigned,0.0,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Unassigned assigned as Rank #1 subject expert (Relevance score: 0.0000).
CH2C,Separation Processes I,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Bertrand Delpech,0.2957,Dr Bertrand Delpech,0.2957,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Bertrand Delpech assigned as Rank #1 subject expert (Relevance score: 0.2957).
SP5503,Professional Development,Department of Health Sciences,taught_academic,Dr Dominic Orth,0.3983,Dr Dominic Orth,0.3983,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Dominic Orth assigned as Rank #1 subject expert (Relevance score: 0.3983).
MG56004,AI Strategy and Transformation,Brunel Business School,taught_academic,Dr Lalnunpuia Samuel,0.3692,Dr Syed Muhammad,0.3399,DISPLACED_BY_QUOTA,2,0.0292,"Assigned Dr Syed Muhammad (Rank #3, Relevance: 0.3399) under Institutional Workload Policy."
DM2305,"Electronic systems, Programming and Interfacing",Brunel Design School,taught_academic,Dr Mohammed Elsouri,0.3108,Dr Federico Colecchia,0.2445,DISPLACED_BY_QUOTA,1,0.0663,"Assigned Dr Federico Colecchia (Rank #2, Relevance: 0.2445) under Institutional Workload Policy."
N/A,Nursing in Society (Child),Department of Health Sciences,taught_academic,Dr Cristina Asenjo Palma,0.4186,Dr Cristina Asenjo Palma,0.4186,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Cristina Asenjo Palma assigned as Rank #1 subject expert (Relevance score: 0.4186).
FM3641,Analysis of Film and Television Work Experience,Department of Arts and Humanities,independent_project_placement,Dr Sean Holmes,0.3616,Dr Sean Holmes,0.3616,EXEMPT,0,0.0,Exempt unit: 'Dr Sean Holmes' assigned as academic supervisor / dissertation coordinator.
ED3700,Growing Up in 21st Century Britain,Department of Education,taught_academic,Dr Saima Salehjee,0.383,Dr Utsa Mukherjee,0.3678,DISPLACED_BY_QUOTA,1,0.0152,"Assigned Dr Utsa Mukherjee (Rank #2, Relevance: 0.3678) under Institutional Workload Policy."
EE2706,Programming for the Moving Image,Department of Electronic and Computer Engineering,taught_academic,Dr stasha Lauria,0.3081,Dr stasha Lauria,0.3081,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr stasha Lauria assigned as Rank #1 subject expert (Relevance score: 0.3081).
BB5605,Research Skills,Department of Life Sciences,taught_academic,Dr Christian Rudolph,0.2828,Dr Will Gervais,0.2421,DISPLACED_BY_QUOTA,4,0.0407,"Assigned Dr Will Gervais (Rank #5, Relevance: 0.2421) under Institutional Workload Policy."
MG2BBB,International Human Resource Management,Brunel Business School,taught_academic,Dr Sabeen Ahmad,0.3116,Professor Mustafa Ozbilgin,0.2635,DISPLACED_BY_QUOTA,3,0.0481,"Assigned Professor Mustafa Ozbilgin (Rank #4, Relevance: 0.2635) under Institutional Workload Policy."
CO5611,"Digital Media, Social Movements and Change","Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.4168,Dr Billur Ozgul,0.4168,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Billur Ozgul assigned as Rank #1 subject expert (Relevance score: 0.4168).
MG2618,Accounting Information Systems,Brunel Business School,taught_academic,Dr Radha Shiwakoti,0.3227,Dr David Botchie,0.2505,DISPLACED_BY_QUOTA,4,0.0722,"Assigned Dr David Botchie (Rank #5, Relevance: 0.2505) under Institutional Workload Policy."
CY5604,Global Harms and Crimes,Department of Social and Political Sciences,taught_academic,Dr Anamika Twyman-Ghoshal,0.4258,Dr Anamika Twyman-Ghoshal,0.4258,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Anamika Twyman-Ghoshal assigned as Rank #1 subject expert (Relevance score: 0.4258).
ME5513,Building Services Design and Management,Department of Mechanical and Aerospace Engineering,taught_academic,Professor Maria Kolokotroni,0.2701,Professor Maria Kolokotroni,0.2701,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Maria Kolokotroni assigned as Rank #1 subject expert (Relevance score: 0.2701).
MG5601,Business Intelligence,Brunel Business School,taught_academic,Dr Xiaoqing Li,0.3548,Dr Xiaoqing Li,0.3548,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Xiaoqing Li assigned as Rank #1 subject expert (Relevance score: 0.3548).
MS1702,"Psychology, Sociology and Lifestyle Medicine",Brunel Medical School,taught_academic,Unassigned Lead,0.0,Unassigned,0.0,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Unassigned assigned as Rank #1 subject expert (Relevance score: 0.0000).
CE3618,Final Year Individual Project,Department of Civil and Environmental Engineering,independent_project_placement,Dr Ruoyu Jin,0.3441,Dr Ruoyu Jin,0.3441,EXEMPT,0,0.0,Exempt unit: 'Dr Ruoyu Jin' assigned as academic supervisor / dissertation coordinator.
EE36CC,Machine Vision and Perception for Robotics,Department of Electronic and Computer Engineering,taught_academic,Dr stasha Lauria,0.3365,Dr Fang Wang,0.2696,DISPLACED_BY_QUOTA,4,0.0669,"Assigned Dr Fang Wang (Rank #5, Relevance: 0.2696) under Institutional Workload Policy."
N/A,Arts in Health,Department of Arts and Humanities,taught_academic,Dr Katerina Paramana,0.3472,Dr Katerina Paramana,0.3472,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Katerina Paramana assigned as Rank #1 subject expert (Relevance score: 0.3472).
MG55XX,AI Technology for Strategic Decision Makers,Brunel Business School,taught_academic,Dr Amir Ashrafi,0.3424,Dr Amir Ashrafi,0.3424,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Amir Ashrafi assigned as Rank #1 subject expert (Relevance score: 0.3424).
BB3738,Microbial Pathogenesis,Department of Life Sciences,taught_academic,Dr Christian Rudolph,0.3948,Dr Ashley Houlden,0.352,DISPLACED_BY_QUOTA,1,0.0428,"Assigned Dr Ashley Houlden (Rank #2, Relevance: 0.3520) under Institutional Workload Policy."
MG5662,Managing Global Challenges,Brunel Business School,taught_academic,Dr Sabeen Ahmad,0.541,Dr Caroline Rodrigues Silva,0.3189,DISPLACED_BY_QUOTA,4,0.2221,"Assigned Dr Caroline Rodrigues Silva (Rank #5, Relevance: 0.3189) under Institutional Workload Policy."
MG3626,"Business Ethics, Environmental Sustainability and Governance",Brunel Business School,taught_academic,Dr Asieh Hosseini Tabaghdehi,0.4477,Dr Asieh Hosseini Tabaghdehi,0.4477,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Asieh Hosseini Tabaghdehi assigned as Rank #1 subject expert (Relevance score: 0.4477).
EE5655,Engineering Ethics and Sustainability,Department of Electronic and Computer Engineering,taught_academic,Dr Steven Sam,0.2825,Dr Antonios Kaniadakis,0.2781,DISPLACED_BY_QUOTA,1,0.0043,"Assigned Dr Antonios Kaniadakis (Rank #2, Relevance: 0.2781) under Institutional Workload Policy."
PH5630,Neurophysiological Basis for Rehabilitation of Movement,Department of Health Sciences,taught_academic,Dr Alyson Warland,0.4455,Dr Elmar Kal,0.4181,DISPLACED_BY_QUOTA,4,0.0274,"Assigned Dr Elmar Kal (Rank #5, Relevance: 0.4181) under Institutional Workload Policy."
BB2731,"Genetics, Genomics and Human Health",Department of Life Sciences,taught_academic,Dr Christian Rudolph,0.4888,Dr Christian Rudolph,0.4888,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Christian Rudolph assigned as Rank #1 subject expert (Relevance score: 0.4888).
EN2619,Postcolonial Writing,Department of Arts and Humanities,taught_academic,Professor Jago Morrison,0.4407,Professor Jago Morrison,0.4407,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Jago Morrison assigned as Rank #1 subject expert (Relevance score: 0.4407).
CO2605,Researching Your World,"Department of Social Sciences, Media and Communications",taught_academic,Dr Magali Peyrefitte,0.2566,Dr Manu Savani,0.2532,DISPLACED_BY_QUOTA,1,0.0034,"Assigned Dr Manu Savani (Rank #2, Relevance: 0.2532) under Institutional Workload Policy."
MG3644,Creativity and Content Marketing,Brunel Business School,taught_academic,Dr Gurdeep Kohli,0.3283,Dr Dongmei Zha,0.3061,DISPLACED_BY_QUOTA,2,0.0222,"Assigned Dr Dongmei Zha (Rank #3, Relevance: 0.3061) under Institutional Workload Policy."
N/A,"Professionalism, Ethics & and Law",Brunel Medical School,taught_academic,Unassigned Lead,0.0,Unassigned,0.0,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Unassigned assigned as Rank #1 subject expert (Relevance score: 0.0000).
MB5610,Advanced Family Enterprise Strategy and Digital Transformation,Brunel Business School,taught_academic,Dr Wai Joyce Joyce Ko,0.4498,Dr Wai Joyce Joyce Ko,0.4498,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Wai Joyce Joyce Ko assigned as Rank #1 subject expert (Relevance score: 0.4498).
N/A,Executive Governance and Managing Change in Healthcare,Brunel Business School,taught_academic,Professor Ashley Braganza,0.2954,Dr Bryan McIntosh,0.291,DISPLACED_BY_QUOTA,1,0.0044,"Assigned Dr Bryan McIntosh (Rank #2, Relevance: 0.2910) under Institutional Workload Policy."
EC5605,International Finance,"Department of Economics, Finance and Accounting",taught_academic,Miss Dilruba Karim,0.4225,Dr Anamaria Diana Sova,0.3701,DISPLACED_BY_QUOTA,3,0.0523,"Assigned Dr Anamaria Diana Sova (Rank #4, Relevance: 0.3701) under Institutional Workload Policy."
BB27BB,"Genetics, Genomics & Health with Bioinformatics",Department of Life Sciences,taught_academic,Professor Joanna Bridger,0.4301,Professor Joanna Bridger,0.4301,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Joanna Bridger assigned as Rank #1 subject expert (Relevance score: 0.4301).
EC5619,Behavioural Finance,"Department of Economics, Finance and Accounting",taught_academic,Dr Fang Xu,0.3711,Dr Fang Xu,0.3711,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Fang Xu assigned as Rank #1 subject expert (Relevance score: 0.3711).
CH2F,Chemical Engineering Thermodynamics,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Jun Xia,0.3745,Professor Xinyan Wang,0.363,DISPLACED_BY_QUOTA,1,0.0115,"Assigned Professor Xinyan Wang (Rank #2, Relevance: 0.3630) under Institutional Workload Policy."
EE3641,Advanced Electronics,Department of Electronic and Computer Engineering,taught_academic,Professor Akram Khan,0.2114,Professor Akram Khan,0.2114,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Akram Khan assigned as Rank #1 subject expert (Relevance score: 0.2114).
ES5605,Portfolio (programme with the optional 6-month work placement),Department of Life Sciences,independent_project_placement,Dr Sofia Barbosa Boucas,0.2451,Dr Sofia Barbosa Boucas,0.2451,EXEMPT,0,0.0,Exempt unit: 'Dr Sofia Barbosa Boucas' assigned as academic supervisor / dissertation coordinator.
GD1602,Game Audio 1: Sound Fundamentals,Department of Arts and Humanities,taught_academic,Dr Brent Ferguson,0.3474,Dr Brent Ferguson,0.3474,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Brent Ferguson assigned as Rank #1 subject expert (Relevance score: 0.3474).
N/A,Inter-professional Dramatherapy (QI),Department of Arts and Humanities,taught_academic,Dr Emily Baines,0.2358,Professor Royona Mitra,0.2178,DISPLACED_BY_QUOTA,2,0.018,"Assigned Professor Royona Mitra (Rank #3, Relevance: 0.2178) under Institutional Workload Policy."
N/A,Design for Manufacturing and Advanced CAD,Brunel Design School,taught_academic,Dr Mohammed Elsouri,0.4274,Dr Mohammad Swash,0.2371,DISPLACED_BY_QUOTA,4,0.1903,"Assigned Dr Mohammad Swash (Rank #5, Relevance: 0.2371) under Institutional Workload Policy."
JR200C,Court Reporting,Department of Social and Political Sciences,taught_academic,Dr Magali Peyrefitte,0.2624,Dr Sara De Benedictis,0.2358,DISPLACED_BY_QUOTA,4,0.0266,"Assigned Dr Sara De Benedictis (Rank #5, Relevance: 0.2358) under Institutional Workload Policy."
PP5632,Terrorism and Counterterrorism,Department of Social and Political Sciences,taught_academic,Dr Kristian Gustafson,0.3249,Professor Matthew Hughes,0.2975,DISPLACED_BY_QUOTA,3,0.0274,"Assigned Professor Matthew Hughes (Rank #4, Relevance: 0.2975) under Institutional Workload Policy."
PP5603,International Security,Department of Social and Political Sciences,taught_academic,Dr Kristian Gustafson,0.2818,Dr Kristian Gustafson,0.2818,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Kristian Gustafson assigned as Rank #1 subject expert (Relevance score: 0.2818).
CH5B,Industrial Internet of Things and Cyber Security,Department of Electronic and Computer Engineering,taught_academic,Dr Cigdem Sengul,0.3955,Dr Cigdem Sengul,0.3955,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Cigdem Sengul assigned as Rank #1 subject expert (Relevance score: 0.3955).
N/A,Advanced Design for Sustainability Project,Brunel Design School,taught_academic,Dr Fabrizio Ceschin,0.596,Dr Fabrizio Ceschin,0.596,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Fabrizio Ceschin assigned as Rank #1 subject expert (Relevance score: 0.5960).
N/A,eBusiness,Department of Computer Science,taught_academic,Dr Nayna Patel,0.3054,Dr Nayna Patel,0.3054,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Nayna Patel assigned as Rank #1 subject expert (Relevance score: 0.3054).
MA5672,Random Matrix Theory,Department of Mathematics,taught_academic,Dr Dmitry Savin,0.3892,Dr Dmitry Savin,0.3892,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Dmitry Savin assigned as Rank #1 subject expert (Relevance score: 0.3892).
N/A,Deep Learning,Department of Computer Science,taught_academic,Dr stasha Lauria,0.3288,Professor Xiaohui Liu,0.3192,DISPLACED_BY_QUOTA,1,0.0096,"Assigned Professor Xiaohui Liu (Rank #2, Relevance: 0.3192) under Institutional Workload Policy."
CM5631,Transforming Specialist Community Public Health Nursing in Health Visiting Practice,Department of Health Sciences,taught_academic,Mrs Nessie Shia,0.4328,Professor Nana Anokye,0.3797,DISPLACED_BY_QUOTA,4,0.0531,"Assigned Professor Nana Anokye (Rank #5, Relevance: 0.3797) under Institutional Workload Policy."
N/A,Academic Writing English,Department of Electronic and Computer Engineering,taught_academic,Dr Rumyana Neykova,0.249,Dr Armin Kashefi,0.2249,DISPLACED_BY_QUOTA,3,0.0241,"Assigned Dr Armin Kashefi (Rank #4, Relevance: 0.2249) under Institutional Workload Policy."
